config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
33,genetic,0,"{'pop_size': 2, 'numIterations': 20, 'percentForCrossover': 1.0}",2.14,2.16,0.00263,85,1000101001101111110101010000010010011110011001100111100011011001011010101111110001001
33,genetic,1,"{'pop_size': 2, 'numIterations': 20, 'percentForCrossover': 1.0}",2.36,2.41,0.00264,85,11010101000100101001010011110000010001001001100011011001111011011111000000001110011
33,genetic,2,"{'pop_size': 2, 'numIterations': 20, 'percentForCrossover': 1.0}",2.11,2.09,0.00263,85,1101101010011000101011110111000010001011100000011011011110011001001111100100001001001
33,genetic,3,"{'pop_size': 2, 'numIterations': 20, 'percentForCrossover': 1.0}",2.08,2.09,0.00267,85,1101000000001111001111010011001001111100101110010001111110011100111100101111111111000
33,genetic,4,"{'pop_size': 2, 'numIterations': 20, 'percentForCrossover': 1.0}",2.03,2.04,0.00272,85,11110110111111111000101100110001010000001010100000110100111000111111101011000010010
34,genetic,0,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.03,2.03,0.00527,85,1000101100010011011110110110011000100100000011111101010010101110010111101011000001000
34,genetic,1,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.02,1.94,0.00522,85,110001011010101000111111001000011100111111111011111110010101101101011000100111100110
34,genetic,2,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.1,2.09,0.00515,85,100011100001100101100001111111100101110000100001001000000111101101110000010000001001
34,genetic,3,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.11,2.07,0.00523,85,11110011000010001010101000100000101001010001101010101010000111010101100100011110101
34,genetic,4,"{'pop_size': 2, 'numIterations': 40, 'percentForCrossover': 1.0}",2.11,2.01,0.00522,85,1001100010111110010000001001000001111100110101011011011010101111010100011110110001010
35,genetic,0,"{'pop_size': 2, 'numIterations': 80, 'percentForCrossover': 1.0}",2.03,1.98,0.01063,85,1100010001110001101010010100101111000011100100001111100010100000001100011001010110
